measures,,ID,countx,Repeats or deletes,Data Name,Target No.,Group Traits,L*(D65),a*(D65),b*(D65),dL*(D65),da*(D65),db*(D65),dE*ab(D65),Judgement,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,ID,count,Idx,countx
21,Shoulder,140,5,,140_#0005,------,------,61.51,9.3,21.85,------,------,------,,------,11.74,11.74,11.74,11.74,11.74,12.09,12.4,13.14,14.83,17.26,19.28,20.69,21.87,23.01,24.33,25.59,26.43,26.7,26.88,27.31,28.24,29.21,30.92,34.76,39.11,42.35,44.46,45.88,47.03,48.08,48.92,49.85,50.67,51.41,51.95,51.95,51.95,51.95,51.95,140,5,140,5
21,Cheek_L,140,6,,140_#0006,------,------,61.5,14.58,15.29,------,------,------,,------,16.14,16.14,16.14,16.14,16.14,16.18,16.13,16.77,18.45,20.55,22.32,23.7,24.67,25.62,26.79,27.65,27.08,25.42,24.33,24.61,25.39,24.9,26.07,33.59,42.44,48.11,51.37,53.1,54.3,55.25,55.96,56.8,57.62,58.33,58.77,58.77,58.77,58.77,58.77,140,6,140,6
21,Cheek_R,140,7,,140_#0007,------,------,64.49,11.2,15.81,------,------,------,,------,18.01,18.01,18.01,18.01,18.01,18.07,18.06,18.81,20.84,23.22,25.07,26.45,27.42,28.42,29.83,31,30.89,29.71,28.88,29.11,29.89,29.8,31.22,37.71,44.77,49.17,51.91,53.4,54.45,55.23,55.9,56.62,57.31,57.88,58.27,58.27,58.27,58.27,58.27,140,7,140,7
21,Forehead,140,8,,140_#0008,------,------,63.65,11.45,18.28,------,------,------,,------,17.16,17.16,17.16,17.16,17.16,16.55,16.17,16.88,18.89,21.14,22.73,23.9,24.72,25.81,27.6,29.25,29.66,28.89,28.29,28.5,29.31,29.48,30.98,37.15,43.59,47.83,50.72,52.39,53.59,54.46,55.24,56.17,57.09,57.82,58.35,58.35,58.35,58.35,58.35,140,8,140,8
21,Palm,140,9,,140_#0009,------,------,62.52,7.26,15.06,------,------,------,,------,17.06,17.06,17.06,17.06,17.06,15.59,14.88,15.12,17.09,21.39,25.19,27.34,28.29,28.97,29.99,30.77,30.46,28.97,27.3,26.6,26.86,26.96,28.21,32.8,38.98,43.9,46.68,48.05,48.89,49.48,49.94,50.62,51.44,52.19,52.62,52.62,52.62,52.62,52.62,140,9,140,9
21,Forearm_inner,140,10,,140_#0010,------,------,65.95,6.54,18.37,------,------,------,,------,16.26,16.26,16.26,16.26,16.26,16.23,16.15,16.71,19.02,23.19,26.47,28.21,29.31,30.3,31.45,32.43,32.95,32.85,32.38,32.17,32.77,33.75,35.54,39.17,43.71,47.18,49.31,50.59,51.53,52.29,52.95,53.72,54.45,55.13,55.63,55.63,55.63,55.63,55.63,140,10,140,10
21,Tricep,140,11,,140_#0011,------,------,60.96,8.79,20.59,------,------,------,,------,11.66,11.66,11.66,11.66,11.66,11.91,12.11,12.73,14.42,17.33,19.91,21.47,22.61,23.57,24.68,25.64,26.23,26.36,26.24,26.32,27.05,28.12,29.87,33.39,37.88,41.43,43.6,45.04,46.12,47.09,47.93,48.8,49.65,50.38,50.95,50.95,50.95,50.95,50.95,140,11,140,11
21,Shoulder,140,12,,140_#0012,------,------,61.33,9.56,22.03,------,------,------,,------,11.51,11.51,11.51,11.51,11.51,11.85,12.14,12.89,14.58,17.01,19.07,20.49,21.69,22.84,24.18,25.42,26.18,26.39,26.52,27.02,27.99,28.86,30.59,34.64,39.16,42.4,44.5,45.94,47.11,48.13,49.01,49.92,50.78,51.52,52.07,52.07,52.07,52.07,52.07,140,12,140,12
21,Cheek_L,140,13,,140_#0013,------,------,61.68,13.26,14.64,------,------,------,,------,16.41,16.41,16.41,16.41,16.41,16.65,16.73,17.4,19.06,21.13,22.82,24.11,25.02,25.91,27,27.79,27.37,26.07,25.2,25.36,26,25.83,26.97,33.34,41.22,46.66,49.89,51.67,52.9,53.87,54.66,55.53,56.37,57.13,57.65,57.65,57.65,57.65,57.65,140,13,140,13
21,Cheek_R,140,14,,140_#0014,------,------,63.94,11.44,15.45,------,------,------,,------,17.71,17.71,17.71,17.71,17.71,17.77,17.78,18.54,20.45,22.88,24.79,26.15,27.09,28.04,29.37,30.41,30.24,29.07,28.2,28.36,29.1,29.03,30.35,36.61,43.77,48.46,51.44,53.03,54.2,55.05,55.74,56.61,57.4,58.07,58.48,58.48,58.48,58.48,58.48,140,14,140,14
21,Forehead,140,15,,140_#0015,------,------,63.28,11.95,18.44,------,------,------,,------,16.75,16.75,16.75,16.75,16.75,16.15,15.77,16.45,18.45,20.69,22.32,23.53,24.38,25.49,27.26,28.88,29.19,28.33,27.65,27.87,28.71,28.8,30.28,36.67,43.42,47.83,50.88,52.61,53.84,54.79,55.57,56.54,57.47,58.25,58.79,58.79,58.79,58.79,58.79,140,15,140,15
21,Palm,140,16,,140_#0016,------,------,61.27,9.45,15.66,------,------,------,,------,16.08,16.08,16.08,16.08,16.08,14.75,14.17,14.48,16.25,19.88,23.1,25.18,26.21,27.01,28.16,29.07,28.65,26.91,25.23,24.9,25.34,25.01,26.1,31.46,38.56,44.09,47.21,48.82,49.79,50.5,51.03,51.8,52.69,53.48,53.95,53.95,53.95,53.95,53.95,140,16,140,16
21,Forearm_inner,140,17,,140_#0017,------,------,65.98,6.21,17.32,------,------,------,,------,17.09,17.09,17.09,17.09,17.09,17.03,16.94,17.52,19.79,23.88,27.03,28.7,29.72,30.65,31.72,32.62,33.14,33.04,32.57,32.34,32.89,33.79,35.43,38.94,43.32,46.74,48.78,49.98,50.83,51.57,52.13,52.84,53.56,54.2,54.67,54.67,54.67,54.67,54.67,140,17,140,17
21,Tricep,140,18,,140_#0018,------,------,62.17,8.12,21.39,------,------,------,,------,12.02,12.02,12.02,12.02,12.02,12.36,12.66,13.43,15.31,18.1,20.35,21.81,22.99,24.07,25.33,26.52,27.39,27.73,27.9,28.29,29.2,30.18,31.88,35.32,39.33,42.32,44.24,45.56,46.6,47.56,48.36,49.19,49.95,50.64,51.15,51.15,51.15,51.15,51.15,140,18,140,18
21,Shoulder,140,19,,140_#0019,------,------,61.65,9.87,22.8,------,------,------,,------,11.47,11.47,11.47,11.47,11.47,11.84,12.21,13.02,14.72,16.93,18.76,20.15,21.35,22.58,24.03,25.48,26.35,26.58,26.84,27.54,28.67,29.42,31.04,35.44,40,43.07,45.12,46.59,47.7,48.77,49.64,50.57,51.41,52.12,52.66,52.66,52.66,52.66,52.66,140,19,140,19
21,Cheek_L,140,20,,140_#0020,------,------,62.41,13.29,15.61,------,------,------,,------,16.57,16.57,16.57,16.57,16.57,16.7,16.76,17.45,19.17,21.26,22.99,24.29,25.26,26.2,27.46,28.43,28.11,26.77,25.89,26.19,26.93,26.75,27.98,34.85,42.84,47.95,51.04,52.72,53.88,54.83,55.54,56.42,57.18,57.87,58.31,58.31,58.31,58.31,58.31,140,20,140,20
21,Cheek_R,140,21,,140_#0021,------,------,62.13,14.04,15.11,------,------,------,,------,16.63,16.63,16.63,16.63,16.63,16.54,16.46,17.21,19.05,21.27,23.11,24.51,25.54,26.52,27.75,28.65,28.04,26.23,25.01,25.36,26.2,25.55,26.6,34.14,43.02,48.73,52.02,53.77,55.01,55.94,56.64,57.47,58.25,58.94,59.38,59.38,59.38,59.38,59.38,140,21,140,21
21,Forehead,140,22,,140_#0022,------,------,63.83,11.99,18.18,------,------,------,,------,17.31,17.31,17.31,17.31,17.31,16.71,16.35,17.03,19.05,21.32,22.99,24.22,25.06,26.14,27.9,29.5,29.8,28.91,28.27,28.45,29.25,29.41,30.92,37.34,44.2,48.82,51.83,53.54,54.72,55.66,56.42,57.4,58.29,59.03,59.56,59.56,59.56,59.56,59.56,140,22,140,22
21,Palm,145,2,,145_#0002,------,SCE,72.1,6.87,18.01,------,------,------,------,------,26.14,26.14,26.14,26.14,26.14,24.33,23.37,24.09,26.97,30.36,32.29,33.75,34.82,35.97,37.9,40.2,41.53,41.39,41.05,41.48,42.16,41.78,42.78,48.48,54.56,58.16,59.98,60.93,61.49,61.95,62.19,62.49,62.77,63,62.98,62.98,62.98,62.98,62.98,145,2,145,2
21,Forearm_inner,145,3,,145_#0003,------,SCE,68.63,5.33,16.92,------,------,------,------,------,20.93,20.93,20.93,20.93,20.93,20.6,20.27,20.79,23.21,27.08,29.71,31.15,32.06,32.97,34.13,35.46,36.5,36.86,36.77,36.72,37.24,38.04,39.53,42.84,46.81,49.67,51.24,52.12,52.75,53.27,53.65,54.12,54.56,54.91,55.09,55.09,55.09,55.09,55.09,145,3,145,3
21,Tricep,145,4,,145_#0004,------,SCE,62.86,9.06,22.62,------,------,------,------,------,13.03,13.03,13.03,13.03,13.03,13.27,13.52,14.29,15.99,18.1,19.69,20.93,22.09,23.22,24.69,26.34,27.63,28.23,28.72,29.58,30.73,31.45,33.02,37.11,41.17,43.85,45.6,46.83,47.86,48.83,49.61,50.4,51.13,51.72,52.19,52.19,52.19,52.19,52.19,145,4,145,4
21,Shoulder,145,5,,145_#0005,------,SCE,68.5,6.03,19.7,------,------,------,------,------,18.44,18.44,18.44,18.44,18.44,18.23,18.03,18.72,21.26,25.14,27.87,29.5,30.64,31.72,33.16,34.76,35.96,36.37,36.35,36.39,37.02,37.99,39.75,43.45,47.66,50.7,52.37,53.34,54.03,54.62,55.06,55.61,56.12,56.54,56.75,56.75,56.75,56.75,56.75,145,5,145,5
21,Cheek_L,145,6,,145_#0006,------,SCE,65.3,11.37,16.52,------,------,------,------,------,18.92,18.92,18.92,18.92,18.92,18.89,18.79,19.57,21.57,23.73,25.28,26.43,27.31,28.19,29.49,30.95,31.43,30.69,30.16,30.7,31.63,31.34,32.64,39.47,46.55,50.59,52.78,54,54.83,55.52,56.03,56.58,57.11,57.49,57.72,57.72,57.72,57.72,57.72,145,6,145,6
21,Cheek_R,145,7,,145_#0007,------,SCE,64.9,12.15,16.02,------,------,------,------,------,18.9,18.9,18.9,18.9,18.9,18.88,18.74,19.43,21.41,23.66,25.22,26.35,27.17,28,29.12,30.43,30.78,29.96,29.36,29.98,30.94,30.42,31.58,38.79,46.47,50.82,53.08,54.32,55.19,55.88,56.37,56.86,57.33,57.68,57.88,57.88,57.88,57.88,57.88,145,7,145,7
21,Forehead,145,8,,145_#0008,------,SCE,64.19,11.93,19.5,------,------,------,------,------,17.93,17.93,17.93,17.93,17.93,16.92,16.25,16.82,18.83,21.05,22.51,23.61,24.33,25.25,26.88,28.8,29.79,29.62,29.34,29.5,30.23,30.61,32.16,38.15,44.66,49.16,52.02,53.61,54.69,55.53,56.22,57.01,57.83,58.49,58.91,58.91,58.91,58.91,58.91,145,8,145,8
21,Palm,145,9,,145_#0009,------,SCE,71.94,6.01,18.47,------,------,------,------,------,25.45,25.45,25.45,25.45,25.45,23.7,22.75,23.49,26.43,29.9,31.84,33.3,34.38,35.55,37.53,39.9,41.44,41.48,41.23,41.64,42.31,42.06,43.12,48.31,53.64,56.81,58.42,59.27,59.79,60.2,60.41,60.69,60.94,61.15,61.15,61.15,61.15,61.15,61.15,145,9,145,9
21,Forearm_inner,145,10,,145_#0010,------,SCE,68.79,4.48,15.35,------,------,------,------,------,22.25,22.25,22.25,22.25,22.25,21.82,21.46,22.01,24.47,28.33,30.87,32.24,33.08,33.93,35.02,36.25,37.17,37.41,37.15,37.06,37.55,38.19,39.49,42.59,46.16,48.68,50.26,51.11,51.71,52.19,52.54,52.98,53.4,53.75,53.96,53.96,53.96,53.96,53.96,145,10,145,10
21,Tricep,145,11,,145_#0011,------,SCE,63.17,8.61,22.27,------,------,------,------,------,13.27,13.27,13.27,13.27,13.27,13.59,13.85,14.61,16.36,18.57,20.2,21.42,22.53,23.65,25.09,26.7,28.02,28.73,29.25,30.09,31.16,31.97,33.55,37.33,41.18,43.79,45.53,46.77,47.76,48.71,49.43,50.27,50.99,51.61,52.05,52.05,52.05,52.05,52.05,145,11,145,11
21,Shoulder,145,12,,145_#0012,------,SCE,69.61,5.3,17.72,------,------,------,------,------,21.18,21.18,21.18,21.18,21.18,20.78,20.45,21.13,23.82,27.7,30.25,31.7,32.76,33.79,35.18,36.75,37.84,38.12,38.05,38.17,38.78,39.35,40.75,44.49,48.7,51.53,53.06,53.91,54.49,54.98,55.35,55.78,56.19,56.53,56.66,56.66,56.66,56.66,56.66,145,12,145,12
21,Cheek_L,145,13,,145_#0013,------,SCE,66.1,10.57,16.8,------,------,------,------,------,19.46,19.46,19.46,19.46,19.46,19.52,19.42,20.19,22.21,24.36,25.9,27.06,27.88,28.79,30.14,31.67,32.35,31.96,31.64,32.06,32.93,32.95,34.33,40.54,47,50.83,52.99,54.22,55.03,55.7,56.22,56.8,57.29,57.73,57.97,57.97,57.97,57.97,57.97,145,13,145,13
21,Cheek_R,145,14,,145_#0014,------,SCE,64.28,13.68,15.07,------,------,------,------,------,19.08,19.08,19.08,19.08,19.08,19.18,19.13,19.87,21.71,23.53,24.83,25.9,26.75,27.62,28.76,29.97,29.96,28.76,28.02,28.69,29.62,28.87,29.8,37.78,46.65,51.52,53.91,55.24,56.14,56.83,57.31,57.82,58.24,58.57,58.71,58.71,58.71,58.71,58.71,145,14,145,14
21,Forehead,145,15,,145_#0015,------,SCE,64.09,11.41,19.32,------,------,------,------,------,17.92,17.92,17.92,17.92,17.92,16.91,16.28,16.85,18.89,21.09,22.49,23.59,24.27,25.17,26.76,28.67,29.75,29.67,29.45,29.64,30.34,30.73,32.23,37.93,44.08,48.38,51.13,52.66,53.71,54.53,55.15,55.92,56.68,57.32,57.72,57.72,57.72,57.72,57.72,145,15,145,15
21,Palm,145,16,,145_#0016,------,SCE,69.88,7.45,19.51,------,------,------,------,------,21.26,21.26,21.26,21.26,21.26,19.62,18.93,19.76,22.83,26.82,29.38,31.18,32.47,33.72,35.6,37.72,38.69,37.82,36.87,37.42,38.36,37.7,38.91,45.51,52.03,55.84,57.82,58.8,59.47,59.95,60.21,60.61,60.93,61.26,61.29,61.29,61.29,61.29,61.29,145,16,145,16
21,Forearm_inner,145,17,,145_#0017,------,SCE,68.26,5.57,16.39,------,------,------,------,------,21.06,21.06,21.06,21.06,21.06,20.67,20.36,20.96,23.36,27.03,29.49,30.86,31.77,32.65,33.83,35.13,36.07,36.28,36.08,36.15,36.73,37.26,38.63,42.29,46.46,49.28,50.83,51.7,52.28,52.8,53.16,53.62,54.04,54.37,54.54,54.54,54.54,54.54,54.54,145,17,145,17
21,Tricep,145,18,,145_#0018,------,SCE,63.73,8.3,21.71,------,------,------,------,------,14.04,14.04,14.04,14.04,14.04,14.35,14.64,15.42,17.19,19.35,20.94,22.13,23.2,24.3,25.78,27.4,28.74,29.48,30.08,30.89,31.94,32.73,34.23,37.95,41.74,44.27,45.96,47.14,48.1,48.99,49.7,50.49,51.15,51.71,52.12,52.12,52.12,52.12,52.12,145,18,145,18
21,Shoulder,145,19,,145_#0019,------,SCE,67.68,6.5,19.21,------,------,------,------,------,18.17,18.17,18.17,18.17,18.17,17.99,17.87,18.52,20.91,24.55,27.11,28.68,29.88,31.02,32.46,33.99,35.01,35.11,34.9,35.1,35.84,36.42,37.97,42.14,46.77,49.92,51.67,52.66,53.38,53.99,54.46,55.02,55.56,55.97,56.22,56.22,56.22,56.22,56.22,145,19,145,19
21,Cheek_L,145,20,,145_#0020,------,SCE,65.94,10.87,16.74,------,------,------,------,------,19.43,19.43,19.43,19.43,19.43,19.44,19.33,20.05,22.05,24.23,25.79,26.94,27.79,28.67,30.01,31.47,32.11,31.65,31.28,31.75,32.63,32.59,33.94,40.36,47.02,50.96,53.12,54.32,55.17,55.81,56.33,56.89,57.4,57.79,58.03,58.03,58.03,58.03,58.03,145,20,145,20
21,Cheek_R,145,21,,145_#0021,------,SCE,64.22,12.71,16.71,------,------,------,------,------,17.85,17.85,17.85,17.85,17.85,17.79,17.71,18.45,20.43,22.58,24.1,25.23,26.08,26.95,28.12,29.48,29.83,28.96,28.32,29.09,30.16,29.47,30.58,38.16,46.06,50.39,52.66,53.91,54.73,55.48,55.97,56.5,56.96,57.32,57.52,57.52,57.52,57.52,57.52,145,21,145,21
21,Forehead,145,22,,145_#0022,------,SCE,64.13,11.55,19.33,------,------,------,------,------,17.95,17.95,17.95,17.95,17.95,16.93,16.28,16.85,18.89,21.1,22.56,23.62,24.31,25.24,26.84,28.75,29.79,29.64,29.41,29.63,30.33,30.65,32.15,37.97,44.27,48.63,51.4,52.95,54.03,54.86,55.51,56.28,57.07,57.7,58.1,58.1,58.1,58.1,58.1,145,22,145,22
21,Palm,153,2,,153_#0002,------,SCE,62.48,8.08,17.84,------,------,------,------,------,15.87,15.87,15.87,15.87,15.87,14.61,13.92,14.17,16.08,19.93,23.1,25.12,26.22,27.15,28.57,29.95,30.08,28.64,27.09,26.84,27.42,27.24,28.53,34.02,40.5,44.95,47.31,48.39,48.99,49.42,49.65,50.02,50.36,50.65,50.67,50.67,50.67,50.67,50.67,153,2,153,2
21,Forearm_inner,153,3,,153_#0003,------,SCE,68.64,6.15,18.1,------,------,------,------,------,19.24,19.24,19.24,19.24,19.24,19.21,19.05,19.66,22.18,26.27,29.29,30.9,31.84,32.7,33.85,35.08,36.02,36.45,36.41,36.39,36.98,37.97,39.66,43.39,47.74,50.79,52.49,53.44,54.13,54.7,55.15,55.66,56.19,56.64,56.85,56.85,56.85,56.85,56.85,153,3,153,3
21,Tricep,153,4,,153_#0004,------,SCE,63.26,9.11,22.61,------,------,------,------,------,12.71,12.71,12.71,12.71,12.71,13.02,13.29,14.06,15.87,18.43,20.42,21.83,22.93,24.04,25.41,26.83,27.96,28.57,29.03,29.78,30.87,31.82,33.56,37.61,41.76,44.6,46.48,47.78,48.88,49.93,50.76,51.66,52.41,53.1,53.55,53.55,53.55,53.55,53.55,153,4,153,4
21,Shoulder,153,5,,153_#0005,------,SCE,68.78,6.7,22.41,------,------,------,------,------,16.49,16.49,16.49,16.49,16.49,16.82,17.03,17.96,20.49,23.78,26.08,27.7,28.95,30.25,32.02,33.89,35.35,36.18,36.75,37.36,38.31,39.41,41.17,44.97,48.86,51.47,53.09,54.17,55.05,55.85,56.48,57.15,57.75,58.22,58.52,58.52,58.52,58.52,58.52,153,5,153,5
21,Cheek_L,153,6,,153_#0006,------,SCE,60.23,15.39,19.62,------,------,------,------,------,12.66,12.66,12.66,12.66,12.66,13.01,13.27,14.07,15.65,17.37,18.81,19.94,20.85,21.79,23.08,24.35,24.6,23.82,23.42,24.2,25.24,24.86,26.02,33.49,41.72,46.6,49.33,50.99,52.23,53.29,54.12,55,55.75,56.36,56.78,56.78,56.78,56.78,56.78,153,6,153,6
21,Cheek_R,153,7,,153_#0007,------,SCE,59.2,14.75,20.5,------,------,------,------,------,10.94,10.94,10.94,10.94,10.94,11.56,12.06,12.97,14.53,16.15,17.53,18.68,19.63,20.59,21.81,23.05,23.42,22.89,22.66,23.61,24.74,24.37,25.38,32.19,39.71,44.16,46.79,48.49,49.87,51.05,52.02,52.95,53.79,54.49,55.03,55.03,55.03,55.03,55.03,153,7,153,7
21,Forehead,153,8,,153_#0008,------,SCE,59.69,15.07,17.59,------,------,------,------,------,14.8,14.8,14.8,14.8,14.8,14.48,14.31,14.81,16.27,17.9,19.18,20.24,20.94,21.83,23.29,24.74,24.93,23.83,23.04,23.34,24.08,23.82,24.88,31.72,39.68,45.12,48.59,50.61,52.03,53.24,54.1,55.14,56.05,56.9,57.43,57.43,57.43,57.43,57.43,153,8,153,8
21,Palm,153,9,,153_#0009,------,SCE,62.62,8.12,18.12,------,------,------,------,------,15.86,15.86,15.86,15.86,15.86,14.62,14.02,14.43,16.44,19.99,22.79,24.75,25.91,26.93,28.54,30.1,30.21,28.65,27.16,27.25,27.97,27.44,28.54,34.57,41.09,45.2,47.31,48.28,48.87,49.22,49.44,49.78,50.08,50.33,50.35,50.35,50.35,50.35,50.35,153,9,153,9
21,Forearm_inner,153,10,,153_#0010,------,SCE,67.41,7.08,17.97,------,------,------,------,------,18.04,18.04,18.04,18.04,18.04,17.91,17.73,18.28,20.66,24.86,28.25,30.04,31.05,31.91,32.96,34.01,34.63,34.58,34.1,33.93,34.49,35.35,37.13,41.41,46.53,50.25,52.27,53.38,54.18,54.84,55.35,55.97,56.53,57.05,57.36,57.36,57.36,57.36,57.36,153,10,153,10
21,Tricep,153,11,,153_#0011,------,SCE,62.32,9.12,22.75,------,------,------,------,------,12.09,12.09,12.09,12.09,12.09,12.41,12.75,13.55,15.33,17.62,19.37,20.67,21.76,22.83,24.19,25.65,26.81,27.47,28.03,28.95,30.08,30.93,32.54,36.4,40.29,42.94,44.78,46.1,47.24,48.3,49.18,50.13,50.93,51.65,52.16,52.16,52.16,52.16,52.16,153,11,153,11
21,Shoulder,153,12,,153_#0012,------,SCE,67.31,6.81,21.23,------,------,------,------,------,15.84,15.84,15.84,15.84,15.84,16.08,16.26,17.14,19.55,22.93,25.45,27.12,28.4,29.63,31.22,32.84,33.96,34.29,34.41,34.9,35.79,36.57,38.24,42.31,46.59,49.49,51.23,52.28,53.16,53.94,54.58,55.2,55.77,56.25,56.57,56.57,56.57,56.57,56.57,153,12,153,12
21,Cheek_L,153,13,,153_#0013,------,SCE,58.84,16.66,18.39,------,------,------,------,------,12.22,12.22,12.22,12.22,12.22,12.66,13,13.76,15.2,16.82,18.16,19.3,20.21,21.11,22.23,23.27,23.23,22.15,21.51,22.29,23.33,22.69,23.55,31.28,40.33,45.73,48.71,50.46,51.83,52.96,53.84,54.75,55.52,56.18,56.64,56.64,56.64,56.64,56.64,153,13,153,13
21,Cheek_R,153,14,,153_#0014,------,SCE,59.15,14,20.47,------,------,------,------,------,10.87,10.87,10.87,10.87,10.87,11.49,12.03,12.93,14.51,16.15,17.52,18.64,19.59,20.54,21.75,23.01,23.47,23.04,22.89,23.83,24.93,24.61,25.62,32.1,39.14,43.3,45.83,47.45,48.77,49.91,50.81,51.72,52.49,53.19,53.66,53.66,53.66,53.66,53.66,153,14,153,14
21,Forehead,153,15,,153_#0015,------,SCE,59.1,15.88,17.63,------,------,------,------,------,14.28,14.28,14.28,14.28,14.28,14.01,13.9,14.48,15.88,17.38,18.6,19.63,20.34,21.19,22.64,24.05,24.22,23.03,22.2,22.59,23.38,22.95,23.9,30.97,39.28,44.99,48.57,50.65,52.19,53.42,54.37,55.43,56.38,57.22,57.74,57.74,57.74,57.74,57.74,153,15,153,15
21,Palm,153,16,,153_#0016,------,SCE,62.37,7.54,17.57,------,------,------,------,------,15.99,15.99,15.99,15.99,15.99,14.72,14.08,14.35,16.31,20.02,23.05,24.97,26.08,27.03,28.45,29.9,30.03,28.66,27.17,27.01,27.55,27.34,28.52,33.86,40.04,44.14,46.34,47.33,47.87,48.27,48.44,48.8,49.14,49.39,49.4,49.4,49.4,49.4,49.4,153,16,153,16
