Rater_ID,Question,Face_ID,Response,Face_Woman,Face_SD
61,halsa,155,7,1,0
61,halsa,247,6,0,1
61,halsa,224,6,0,0
61,halsa,290,6,0,1
61,halsa,178,6,1,1
61,halsa,258,6,0,0
61,halsa,109,6,1,0
61,halsa,242,6,0,0
61,halsa,164,4,1,0
61,halsa,236,4,1,1
61,halsa,116,4,0,1
61,halsa,253,5,1,0
61,halsa,275,5,0,1
61,halsa,168,4,0,0
61,halsa,105,6,1,1
61,halsa,129,5,1,0
61,halsa,201,6,1,0
61,halsa,276,5,0,0
61,halsa,287,5,1,0
61,halsa,211,1,1,1
61,halsa,123,5,0,1
61,halsa,226,7,1,1
61,halsa,229,5,0,0
61,halsa,264,5,0,1
61,halsa,171,1,0,1
61,halsa,108,5,1,1
61,halsa,122,5,1,1
61,halsa,160,5,0,0
61,halsa,117,5,0,0
61,halsa,285,5,0,0
61,halsa,127,5,1,1
61,halsa,219,5,0,0
61,halsa,260,5,0,0
61,halsa,197,5,1,0
61,halsa,112,5,1,0
61,halsa,143,1,0,1
61,halsa,166,1,0,1
61,halsa,134,1,1,0
61,halsa,128,5,1,0
61,halsa,305,6,0,0
61,halsa,124,6,0,1
61,halsa,133,6,1,0
61,halsa,138,6,0,0
61,halsa,172,6,0,1
61,halsa,301,6,0,1
61,halsa,149,6,1,0
61,halsa,223,6,0,0
61,halsa,246,6,0,0
61,halsa,205,6,0,1
61,halsa,174,6,1,1
61,halsa,110,6,1,1
61,trotthet,451,1,0,0
61,trotthet,258,2,0,0
61,trotthet,293,3,0,0
61,trotthet,165,4,0,0
61,trotthet,417,3,1,1
61,trotthet,212,4,1,1
61,trotthet,233,2,1,1
61,trotthet,268,4,0,0
61,trotthet,230,1,0,0
61,trotthet,111,5,1,1
61,trotthet,265,2,0,1
61,trotthet,124,5,0,1
61,trotthet,259,5,0,1
61,trotthet,210,3,1,0
61,trotthet,201,3,1,0
61,trotthet,159,3,0,0
61,trotthet,185,3,1,0
61,trotthet,168,3,0,0
61,trotthet,190,5,0,1
61,trotthet,263,5,0,1
61,trotthet,216,5,1,0
61,trotthet,297,5,0,1
61,trotthet,282,5,0,0
61,trotthet,228,5,1,1
61,trotthet,224,5,0,0
61,trotthet,139,5,1,0
61,trotthet,172,5,0,1
61,trotthet,244,4,1,1
61,trotthet,153,4,1,1
61,trotthet,280,4,1,0
61,trotthet,206,4,0,1
61,trotthet,116,4,0,1
61,trotthet,191,4,0,0
61,trotthet,573,4,1,0
61,trotthet,178,4,1,1
61,trotthet,211,4,1,1
61,trotthet,305,4,0,0
61,trotthet,418,4,1,1
61,trotthet,115,4,0,1
61,trotthet,425,4,1,1
61,trotthet,166,4,0,1
61,trotthet,248,4,0,1
61,trotthet,264,4,0,1
61,trotthet,132,4,1,0
61,trotthet,180,4,1,0
61,trotthet,247,4,0,1
61,trotthet,184,4,0,0
61,trotthet,257,4,0,1
61,trotthet,104,4,1,0
61,trotthet,270,4,0,1
61,trotthet,126,4,1,1
61,trotthet,276,5,0,0
61,trotthet,222,7,1,1
61,trotthet,229,7,0,0
61,trotthet,186,7,1,0
61,trotthet,246,7,0,0
61,trotthet,267,7,0,0
61,trotthet,245,7,0,1
61,trotthet,195,7,1,0
61,trotthet,135,7,1,1
61,trotthet,117,7,0,0
61,trotthet,156,7,1,0
61,trotthet,291,4,1,1
61,trotthet,577,5,0,0
61,trotthet,203,5,1,1
61,trotthet,121,4,1,0
61,trotthet,240,5,0,1
61,trotthet,214,4,1,1
61,trotthet,266,3,0,1
61,trotthet,110,5,1,1
61,trotthet,106,5,1,1
61,trotthet,290,5,0,1
61,trotthet,238,5,1,0
61,trotthet,167,5,0,1
61,trotthet,285,5,0,0
61,trotthet,130,5,1,1
61,trotthet,221,5,1,1
61,trotthet,288,5,1,0
61,trotthet,239,5,0,1
61,trotthet,152,5,1,1
61,trotthet,160,5,0,0
61,trotthet,155,5,1,0
61,trotthet,235,1,1,1
61,trotthet,123,6,0,1
61,trotthet,202,6,1,0
61,trotthet,281,6,0,1
61,trotthet,134,1,1,0
61,trotthet,181,1,1,0
61,trotthet,298,4,0,1
61,trotthet,145,5,1,1
61,trotthet,187,1,0,0
61,trotthet,188,6,0,0
61,trotthet,122,1,1,1
61,trotthet,236,5,1,1
61,trotthet,253,1,1,0
61,trotthet,102,1,1,0
61,trotthet,109,5,1,0
61,trotthet,189,5,0,1
61,trotthet,256,3,0,1
61,trotthet,176,5,1,1
61,trotthet,286,4,0,1
61,trotthet,232,5,1,1
61,trotthet,177,5,1,1
61,trotthet,144,5,0,1
61,trotthet,136,5,1,1
61,trotthet,213,5,1,1
61,trotthet,302,5,0,1
61,trotthet,147,5,1,1
61,trotthet,105,1,1,1
61,trotthet,278,6,0,0
61,trotthet,252,6,0,1
61,trotthet,193,6,1,1
61,trotthet,287,1,1,0
61,trotthet,243,5,1,1
61,trotthet,149,4,1,0
61,trotthet,120,4,1,1
61,trotthet,137,4,0,0
61,trotthet,433,4,1,1
61,trotthet,209,4,1,0
61,trotthet,254,4,1,0
61,trotthet,198,4,1,0
61,trotthet,205,4,0,1
61,trotthet,204,4,1,0
61,trotthet,306,4,0,0
61,trotthet,272,4,0,1
61,trotthet,241,4,0,0
61,trotthet,289,4,0,0
61,trotthet,182,4,1,1
61,trotthet,143,4,0,1
61,trotthet,151,4,1,0
61,trotthet,174,4,1,1
61,trotthet,271,4,0,1
61,trotthet,183,4,0,0
61,trotthet,112,4,1,0
61,trotthet,274,4,1,0
61,trotthet,108,4,1,1
61,trotthet,242,4,0,0
61,trotthet,171,4,0,1
61,trotthet,138,4,0,0
61,trotthet,101,4,1,0
61,trotthet,192,4,0,1
61,trotthet,217,4,1,1
61,trotthet,131,4,1,1
61,trotthet,218,4,1,1
61,trotthet,279,4,1,1
61,trotthet,207,4,1,0
61,trotthet,269,4,0,0
61,trotthet,128,4,1,0
61,trotthet,175,4,1,1
61,trotthet,163,4,1,0
61,trotthet,292,4,1,1
61,trotthet,154,4,1,0
61,trotthet,127,1,1,1
61,trotthet,196,1,1,0
61,trotthet,431,1,1,0
61,trotthet,220,1,0,0
61,trotthet,164,4,1,0
61,trotthet,255,7,0,0
61,trotthet,162,6,0,0
61,trotthet,107,5,1,1
61,trotthet,226,6,1,1
61,trotthet,133,5,1,0
61,trotthet,223,5,0,0
61,trotthet,301,5,0,1
61,trotthet,208,2,1,0
61,trotthet,146,3,1,1
61,trotthet,260,3,0,0
61,trotthet,129,4,1,0
61,trotthet,179,4,1,0
61,trotthet,275,4,0,1
61,trotthet,103,4,1,0
61,trotthet,140,3,1,0
61,trotthet,125,5,1,1
61,trotthet,161,4,0,0
61,trotthet,119,5,1,0
61,trotthet,194,7,1,1
61,trotthet,215,4,1,0
61,trotthet,249,5,1,0
61,trotthet,197,5,1,0
61,trotthet,219,7,0,0
61,trotthet,173,7,1,0
61,blek_hud,305,5,0,0
61,blek_hud,181,4,1,0
61,blek_hud,144,4,0,1
61,blek_hud,212,6,1,1
61,blek_hud,123,4,0,1
61,blek_hud,134,4,1,0
61,blek_hud,187,1,0,0
61,blek_hud,306,1,0,0
61,blek_hud,269,1,0,0
61,blek_hud,197,1,1,0
61,blek_hud,229,1,0,0
61,blek_hud,431,1,1,0
61,blek_hud,230,5,0,0
61,blek_hud,244,5,1,1
61,blek_hud,171,2,0,1
61,blek_hud,298,4,0,1
61,blek_hud,129,2,1,0
61,blek_hud,126,4,1,1
61,blek_hud,125,4,1,1
61,blek_hud,124,4,0,1
61,blek_hud,224,4,0,0
61,blek_hud,177,4,1,1
61,blek_hud,167,1,0,1
61,blek_hud,163,4,1,0
61,blek_hud,131,4,1,1
61,blek_hud,268,3,0,0
61,blek_hud,192,6,0,1
61,blek_hud,271,5,0,1
61,blek_hud,102,5,1,0
61,blek_hud,108,5,1,1
61,blek_hud,116,1,0,1
61,blek_hud,112,5,1,0
61,blek_hud,174,5,1,1
61,blek_hud,196,3,1,0
61,blek_hud,146,7,1,1
61,blek_hud,105,7,1,1
61,blek_hud,236,7,1,1
61,blek_hud,208,3,1,0
61,blek_hud,140,3,1,0
61,blek_hud,238,2,1,0
61,blek_hud,101,4,1,0
61,blek_hud,179,7,1,0
61,blek_hud,232,7,1,1
61,blek_hud,233,7,1,1
61,blek_hud,176,4,1,1
61,blek_hud,246,7,0,0
61,blek_hud,162,6,0,0
61,blek_hud,137,5,0,0
61,blek_hud,139,4,1,0
61,blek_hud,278,4,0,0
61,blek_hud,183,4,0,0
61,blek_hud,164,4,1,0
61,blek_hud,161,4,0,0
61,blek_hud,110,4,1,1
61,blek_hud,263,4,0,1
61,blek_hud,577,4,0,0
61,blek_hud,151,4,1,0
61,blek_hud,285,4,0,0
61,blek_hud,211,4,1,1
61,blek_hud,235,4,1,1
61,blek_hud,297,4,0,1
61,blek_hud,185,4,1,0
61,blek_hud,292,4,1,1
61,blek_hud,288,4,1,0
61,blek_hud,111,4,1,1
61,blek_hud,245,4,0,1
61,blek_hud,178,4,1,1
61,blek_hud,249,4,1,0
61,blek_hud,242,4,0,0
61,blek_hud,107,4,1,1
61,blek_hud,195,5,1,0
61,blek_hud,210,5,1,0
61,blek_hud,128,1,1,0
61,blek_hud,175,4,1,1
61,blek_hud,302,1,0,1
61,blek_hud,291,5,1,1
61,blek_hud,205,1,0,1
61,blek_hud,159,1,0,0
61,blek_hud,290,1,0,1
61,blek_hud,135,5,1,1
61,blek_hud,155,1,1,0
61,blek_hud,152,1,1,1
61,blek_hud,204,1,1,0
61,blek_hud,270,1,0,1
61,blek_hud,256,1,0,1
61,blek_hud,127,1,1,1
61,blek_hud,132,1,1,0
61,blek_hud,451,1,0,0
61,blek_hud,119,1,1,0
61,blek_hud,133,1,1,0
61,blek_hud,281,5,0,1
61,blek_hud,160,5,0,0
61,blek_hud,106,1,1,1
61,blek_hud,223,7,0,0
61,blek_hud,103,7,1,0
61,blek_hud,222,7,1,1
61,blek_hud,293,5,0,0
61,blek_hud,252,6,0,1
61,blek_hud,156,5,1,0
61,blek_hud,239,1,0,1
61,blek_hud,221,7,1,1
61,blek_hud,228,7,1,1
61,blek_hud,257,4,0,1
61,blek_hud,172,2,0,1
61,blek_hud,201,2,1,0
61,blek_hud,267,7,0,0
61,blek_hud,220,7,0,0
61,blek_hud,279,1,1,1
61,blek_hud,136,1,1,1
61,blek_hud,154,1,1,0
61,blek_hud,274,1,1,0
61,blek_hud,198,7,1,0
61,blek_hud,186,1,1,0
61,blek_hud,143,7,0,1
61,blek_hud,194,5,1,1
61,blek_hud,241,7,0,0
61,blek_hud,168,7,0,0
61,blek_hud,203,7,1,1
61,blek_hud,286,1,0,1
61,blek_hud,145,7,1,1
61,blek_hud,417,5,1,1
61,blek_hud,255,6,0,0
61,blek_hud,191,4,0,0
61,blek_hud,193,2,1,1
61,blek_hud,215,7,1,0
61,blek_hud,206,6,0,1
61,blek_hud,149,7,1,0
61,blek_hud,280,7,1,0
61,blek_hud,226,7,1,1
61,blek_hud,248,4,0,1
61,blek_hud,253,5,1,0
61,blek_hud,573,4,1,0
61,blek_hud,260,2,0,0
61,blek_hud,217,7,1,1
61,blek_hud,289,1,0,0
61,blek_hud,418,7,1,1
61,blek_hud,190,4,0,1
61,blek_hud,276,1,0,0
61,blek_hud,214,7,1,1
61,blek_hud,207,3,1,0
61,blek_hud,266,4,0,1
61,blek_hud,243,5,1,1
61,blek_hud,218,1,1,1
61,blek_hud,147,1,1,1
61,blek_hud,272,1,0,1
61,blek_hud,122,6,1,1
61,blek_hud,138,7,0,0
61,blek_hud,182,1,1,1
61,blek_hud,301,1,0,1
61,blek_hud,117,1,0,0
61,blek_hud,188,1,0,0
61,blek_hud,180,1,1,0
61,blek_hud,184,1,0,0
61,blek_hud,259,7,0,1
61,blek_hud,153,1,1,1
61,blek_hud,120,1,1,1
61,blek_hud,109,1,1,0
61,blek_hud,130,1,1,1
61,blek_hud,173,4,1,0
61,blek_hud,115,4,0,1
61,blek_hud,213,7,1,1
61,blek_hud,433,1,1,1
61,blek_hud,287,4,1,0
61,blek_hud,202,4,1,0
61,blek_hud,189,4,0,1
61,blek_hud,265,4,0,1
61,blek_hud,209,4,1,0
61,blek_hud,275,4,0,1
61,blek_hud,282,4,0,0
61,blek_hud,216,7,1,0
61,blek_hud,219,7,0,0
61,blek_hud,247,7,0,1
61,blek_hud,258,3,0,0
61,blek_hud,264,2,0,1
61,blek_hud,254,2,1,0
61,blek_hud,425,3,1,1
61,blek_hud,240,3,0,1
61,blek_hud,165,1,0,0
61,blek_hud,166,7,0,1
61,blek_hud,104,1,1,0
55,trotthet,206,2,0,1
55,trotthet,254,3,1,0
55,trotthet,181,2,1,0
55,trotthet,244,6,1,1
55,trotthet,175,4,1,1
55,trotthet,143,3,0,1
55,trotthet,220,5,0,0
55,trotthet,245,6,0,1
55,trotthet,247,3,0,1
55,trotthet,201,6,1,0
55,trotthet,248,2,0,1
55,trotthet,256,4,0,1
55,trotthet,101,5,1,0
55,trotthet,270,4,0,1
55,trotthet,218,3,1,1
55,trotthet,257,2,0,1
55,trotthet,197,3,1,0
55,trotthet,243,6,1,1
55,trotthet,140,2,1,0
55,trotthet,268,5,0,0
55,trotthet,265,4,0,1
55,trotthet,433,3,1,1
55,trotthet,196,2,1,0
55,trotthet,163,5,1,0
55,trotthet,130,3,1,1
55,trotthet,161,4,0,0
55,trotthet,215,2,1,0
55,trotthet,156,1,1,0
55,trotthet,240,3,0,1
55,trotthet,185,3,1,0
55,trotthet,198,2,1,0
55,trotthet,451,1,0,0
55,trotthet,159,5,0,0
55,trotthet,252,5,0,1
55,trotthet,417,3,1,1
55,trotthet,246,2,0,0
55,trotthet,233,2,1,1
55,trotthet,154,5,1,0
55,trotthet,115,3,0,1
55,trotthet,219,3,0,0
55,trotthet,135,4,1,1
55,trotthet,210,2,1,0
55,trotthet,298,2,0,1
55,trotthet,214,2,1,1
55,trotthet,236,3,1,1
55,trotthet,216,3,1,0
55,trotthet,242,5,0,0
55,trotthet,149,5,1,0
55,trotthet,211,3,1,1
55,trotthet,194,5,1,1
55,trotthet,139,4,1,0
55,trotthet,286,3,0,1
55,trotthet,110,2,1,1
55,trotthet,180,2,1,0
55,trotthet,290,3,0,1
55,trotthet,167,1,0,1
55,trotthet,431,5,1,0
55,trotthet,232,3,1,1
55,trotthet,123,2,0,1
55,trotthet,151,2,1,0
55,trotthet,106,5,1,1
55,trotthet,188,3,0,0
55,trotthet,224,2,0,0
55,trotthet,288,5,1,0
55,trotthet,164,3,1,0
55,trotthet,264,2,0,1
55,trotthet,213,3,1,1
55,trotthet,125,3,1,1
55,trotthet,186,4,1,0
55,trotthet,212,2,1,1
55,trotthet,122,4,1,1
55,trotthet,128,3,1,0
55,trotthet,103,2,1,0
55,trotthet,187,2,0,0
55,trotthet,120,3,1,1
55,trotthet,152,2,1,1
55,trotthet,573,4,1,0
55,trotthet,174,3,1,1
55,trotthet,111,2,1,1
55,trotthet,112,1,1,0
55,trotthet,301,2,0,1
55,trotthet,108,3,1,1
55,trotthet,127,2,1,1
55,trotthet,166,1,0,1
55,trotthet,217,2,1,1
55,trotthet,306,2,0,0
55,trotthet,289,2,0,0
55,trotthet,229,2,0,0
55,trotthet,133,3,1,0
55,trotthet,275,5,0,1
55,trotthet,138,4,0,0
55,trotthet,132,6,1,0
55,trotthet,292,5,1,1
55,trotthet,182,4,1,1
55,trotthet,577,3,0,0
55,trotthet,239,3,0,1
55,trotthet,205,4,0,1
55,trotthet,291,2,1,1
55,trotthet,137,3,0,0
55,trotthet,153,2,1,1
55,trotthet,146,3,1,1
55,trotthet,235,2,1,1
55,trotthet,102,4,1,0
55,trotthet,269,4,0,0
55,trotthet,203,3,1,1
55,trotthet,302,6,0,1
55,trotthet,179,6,1,0
55,trotthet,126,3,1,1
55,trotthet,221,6,1,1
55,trotthet,171,3,0,1
55,trotthet,305,4,0,0
55,trotthet,116,2,0,1
55,trotthet,222,3,1,1
55,trotthet,260,2,0,0
55,trotthet,121,2,1,0
55,trotthet,165,3,0,0
55,trotthet,107,4,1,1
55,trotthet,258,2,0,0
55,trotthet,249,3,1,0
55,trotthet,189,2,0,1
55,trotthet,131,2,1,1
55,trotthet,274,2,1,0
55,trotthet,208,3,1,0
55,trotthet,253,2,1,0
55,trotthet,230,1,0,0
55,trotthet,285,2,0,0
55,trotthet,119,1,1,0
55,trotthet,177,5,1,1
55,trotthet,281,3,0,1
55,trotthet,191,3,0,0
55,trotthet,145,4,1,1
55,trotthet,147,3,1,1
55,trotthet,278,4,0,0
55,trotthet,195,2,1,0
55,trotthet,272,2,0,1
55,trotthet,238,2,1,0
55,trotthet,183,2,0,0
55,trotthet,184,3,0,0
55,trotthet,124,3,0,1
55,trotthet,193,4,1,1
55,trotthet,168,3,0,0
55,trotthet,280,2,1,0
55,trotthet,173,4,1,0
55,trotthet,192,3,0,1
55,trotthet,241,2,0,0
55,trotthet,223,5,0,0
55,trotthet,109,3,1,0
55,trotthet,279,4,1,1
55,trotthet,418,3,1,1
55,trotthet,104,2,1,0
55,trotthet,266,3,0,1
55,trotthet,297,2,0,1
55,trotthet,202,3,1,0
55,trotthet,172,4,0,1
55,trotthet,287,3,1,0
55,trotthet,209,4,1,0
55,trotthet,228,4,1,1
55,trotthet,263,3,0,1
55,trotthet,259,4,0,1
55,trotthet,144,3,0,1
55,trotthet,105,5,1,1
55,trotthet,117,4,0,0
55,trotthet,282,4,0,0
55,trotthet,178,4,1,1
55,trotthet,204,3,1,0
55,trotthet,207,2,1,0
55,trotthet,136,5,1,1
55,trotthet,155,2,1,0
55,trotthet,176,3,1,1
55,trotthet,226,4,1,1
55,trotthet,255,5,0,0
55,trotthet,425,5,1,1
55,trotthet,190,2,0,1
55,trotthet,293,2,0,0
55,trotthet,162,2,0,0
55,trotthet,276,2,0,0
55,trotthet,160,3,0,0
55,trotthet,267,4,0,0
55,trotthet,134,2,1,0
55,trotthet,129,2,1,0
55,trotthet,271,2,0,1
55,halsa,205,5,0,1
55,halsa,232,5,1,1
55,halsa,219,6,0,0
55,halsa,134,4,1,0
55,halsa,112,6,1,0
55,halsa,128,4,1,0
55,halsa,290,3,0,1
55,halsa,212,2,1,1
55,halsa,248,1,0,1
55,halsa,206,4,0,1
55,halsa,298,3,0,1
55,halsa,573,5,1,0
55,halsa,260,6,0,0
55,halsa,431,6,1,0
55,halsa,119,5,1,0
55,halsa,196,4,1,0
55,halsa,289,2,0,0
55,halsa,204,4,1,0
55,halsa,139,5,1,0
55,halsa,106,2,1,1
55,halsa,208,1,1,0
55,halsa,229,4,0,0
55,halsa,214,1,1,1
55,halsa,240,1,0,1
55,halsa,257,3,0,1
55,halsa,159,5,0,0
55,halsa,149,4,1,0
55,halsa,197,3,1,0
55,halsa,281,2,0,1
55,halsa,198,5,1,0
55,halsa,185,5,1,0
55,halsa,267,4,0,0
55,halsa,140,6,1,0
55,halsa,175,1,1,1
55,halsa,253,2,1,0
55,halsa,278,6,0,0
55,halsa,433,2,1,1
55,halsa,297,3,0,1
55,halsa,173,5,1,0
55,halsa,174,3,1,1
55,halsa,271,6,0,1
55,halsa,154,3,1,0
55,halsa,180,6,1,0
55,halsa,146,3,1,1
55,halsa,274,6,1,0
55,halsa,244,6,1,1
55,halsa,245,3,0,1
55,halsa,179,6,1,0
55,halsa,138,1,0,0
55,halsa,301,2,0,1
55,halsa,302,6,0,1
55,halsa,151,2,1,0
55,halsa,258,3,0,0
55,halsa,202,1,1,0
55,halsa,108,5,1,1
55,halsa,279,3,1,1
55,halsa,201,6,1,0
55,halsa,111,2,1,1
55,halsa,153,2,1,1
55,halsa,123,3,0,1
55,halsa,288,5,1,0
55,halsa,104,6,1,0
55,halsa,280,2,1,0
55,halsa,269,2,0,0
55,halsa,236,2,1,1
55,halsa,120,2,1,1
55,halsa,223,2,0,0
55,halsa,246,2,0,0
55,halsa,193,1,1,1
55,halsa,105,1,1,1
55,halsa,249,1,1,0
55,halsa,217,4,1,1
55,halsa,136,2,1,1
55,halsa,121,4,1,0
55,halsa,418,6,1,1
55,halsa,218,2,1,1
55,halsa,177,4,1,1
55,halsa,155,3,1,0
55,halsa,189,2,0,1
55,halsa,216,3,1,0
55,halsa,164,2,1,0
55,halsa,168,1,0,0
55,halsa,263,4,0,1
55,halsa,182,1,1,1
55,halsa,254,3,1,0
55,halsa,188,2,0,0
55,halsa,126,3,1,1
55,halsa,132,5,1,0
55,halsa,238,3,1,0
55,halsa,265,2,0,1
55,halsa,224,1,0,0
55,halsa,247,3,0,1
55,halsa,228,5,1,1
55,halsa,268,6,0,0
55,halsa,143,4,0,1
55,halsa,252,3,0,1
55,halsa,167,2,0,1
55,halsa,191,5,0,0
55,halsa,160,2,0,0
55,halsa,190,3,0,1
55,halsa,133,5,1,0
55,halsa,131,5,1,1
55,halsa,192,2,0,1
55,halsa,116,6,0,1
55,halsa,110,3,1,1
55,halsa,270,2,0,1
55,halsa,187,3,0,0
55,halsa,451,2,0,0
55,halsa,210,5,1,0
55,halsa,107,4,1,1
55,halsa,577,5,0,0
55,halsa,156,5,1,0
55,halsa,242,6,0,0
55,halsa,115,3,0,1
55,halsa,215,2,1,0
55,halsa,305,1,0,0
55,halsa,171,1,0,1
55,halsa,276,3,0,0
55,halsa,102,2,1,0
55,halsa,239,5,0,1
55,halsa,203,4,1,1
55,halsa,425,3,1,1
55,halsa,235,3,1,1
55,halsa,183,5,0,0
55,halsa,181,2,1,0
55,halsa,220,3,0,0
55,halsa,127,5,1,1
55,halsa,256,3,0,1
55,halsa,161,2,0,0
55,halsa,264,1,0,1
55,halsa,272,2,0,1
55,halsa,145,2,1,1
55,halsa,275,6,0,1
55,halsa,122,3,1,1
55,halsa,259,2,0,1
55,halsa,130,3,1,1
55,halsa,124,1,0,1
55,halsa,243,5,1,1
55,halsa,166,3,0,1
55,halsa,207,2,1,0
55,halsa,129,3,1,0
55,halsa,101,6,1,0
55,halsa,117,3,0,0
55,halsa,226,4,1,1
55,halsa,152,3,1,1
55,halsa,144,2,0,1
55,halsa,222,1,1,1
55,halsa,163,2,1,0
55,halsa,211,6,1,1
55,halsa,241,6,0,0
55,halsa,184,3,0,0
55,halsa,209,2,1,0
55,halsa,176,4,1,1
55,halsa,125,1,1,1
55,halsa,186,6,1,0
55,halsa,147,2,1,1
55,halsa,287,1,1,0
55,halsa,293,4,0,0
55,halsa,135,6,1,1
55,halsa,230,1,0,0
55,halsa,137,4,0,0
55,halsa,291,4,1,1
55,halsa,213,6,1,1
55,halsa,221,5,1,1
55,halsa,306,3,0,0
55,halsa,195,2,1,0
55,halsa,255,6,0,0
55,halsa,178,3,1,1
55,halsa,266,5,0,1
55,halsa,172,7,0,1
55,halsa,286,7,0,1
55,halsa,282,4,0,0
55,halsa,417,1,1,1
55,halsa,233,3,1,1
55,halsa,165,6,0,0
55,halsa,194,5,1,1
55,halsa,292,2,1,1
55,halsa,162,4,0,0
55,halsa,103,2,1,0
55,halsa,285,2,0,0
55,halsa,109,2,1,0
55,blek_hud,134,4,1,0
55,blek_hud,101,2,1,0
55,blek_hud,292,2,1,1
55,blek_hud,257,3,0,1
55,blek_hud,185,2,1,0
55,blek_hud,271,1,0,1
55,blek_hud,106,5,1,1
55,blek_hud,102,2,1,0
55,blek_hud,104,2,1,0
55,blek_hud,244,5,1,1
55,blek_hud,132,2,1,0
55,blek_hud,301,5,0,1
55,blek_hud,161,6,0,0
55,blek_hud,135,6,1,1
55,blek_hud,204,3,1,0
55,blek_hud,263,6,0,1
55,blek_hud,162,2,0,0
55,blek_hud,124,3,0,1
55,blek_hud,210,6,1,0
55,blek_hud,213,7,1,1
55,blek_hud,418,7,1,1
55,blek_hud,130,3,1,1
55,blek_hud,123,2,0,1
55,blek_hud,166,3,0,1
55,blek_hud,111,7,1,1
55,blek_hud,179,7,1,0
55,blek_hud,207,3,1,0
55,blek_hud,112,2,1,0
55,blek_hud,268,3,0,0
55,blek_hud,256,2,0,1
55,blek_hud,290,1,0,1
55,blek_hud,258,3,0,0
55,blek_hud,233,7,1,1
55,blek_hud,241,6,0,0
